Name,SecondName,BirthDate,Company,Sex
Emily,Larson,1978-02-03,Nintendo,m
Katie,Chavez,1996-12-21,Microsoft Game Studios,m
Larry,Rodriguez,1971-09-04,Take-Two Interactive,f
Christine,Hughes,1985-03-04,Sony Computer Entertainment,f
William,Patterson,1988-12-09,Activision,f
Natasha,Mitchell,1970-04-04,Ubisoft,f
Melissa,Salinas,1992-01-14,Bethesda Softworks,m
Daniel,Morrison,1974-03-23,Electronic Arts,f
Amanda,Mcdonald,1987-01-26,Sega,f
Christopher,Perez,1975-04-01,SquareSoft,m
Heather,Foster,1984-11-03,Atari,f
Kevin,Arnold,1993-01-20,505 Games,f
Carol,Butler,1986-12-31,Capcom,f
Rita,Thompson,1996-08-09,GT Interactive,m
Rebecca,Mitchell,1993-04-07,Konami Digital Entertainment,f
Melissa,Jones,1979-11-24,Sony Computer Entertainment Europe,f
Stacey,Washington,1983-05-26,Square Enix,f
Cheyenne,Dean,1980-03-17,LucasArts,m
Dawn,White,1970-01-04,Virgin Interactive,f
Julie,Stokes,1971-11-27,Warner Bros. Interactive Entertainment,f
Emma,Parker,1970-03-28,Universal Interactive,f
Sarah,Maxwell,1994-05-23,Eidos Interactive,m
Kimberly,Sims,1971-06-26,RedOctane,m
Miranda,Davis,1995-02-01,Vivendi Games,f
Brandi,Byrd,1989-05-30,Enix Corporation,f
Hannah,Medina,1974-03-14,Namco Bandai Games,f
Victoria,Moore,1995-04-17,Palcom,m
Carol,Moore,1980-05-24,Hasbro Interactive,m
Maurice,Park,1994-02-17,THQ,f
Kathy,Horton,1978-12-19,Fox Interactive,m
Adam,Cooper,1987-04-29,Acclaim Entertainment,f
John,Martin,1990-01-20,MTV Games,f
Eric,White,1993-04-06,Disney Interactive Studios,m
Sabrina,Meza,1987-09-09,N/A,m
Chelsea,Jones,1978-02-23,Majesco Entertainment,m
Jennifer,Hernandez,1990-12-14,Codemasters,m
Michael,Mitchell,1977-04-13,Red Orb,m
Stephanie,Taylor,1979-01-01,Level 5,f
Wesley,Smith,1972-09-21,Arena Entertainment,m
Paul,Chapman,1976-12-11,Midway Games,f
Carlos,Johnson,1995-04-10,JVC,m
Zachary,Brown,1972-11-25,Deep Silver,f
Alexander,Bryant,1983-10-21,989 Studios,f
Jennifer,Salazar,1970-03-25,NCSoft,f
Shannon,Ortega,1993-09-07,UEP Systems,m
Cory,Bell,1975-07-07,Parker Bros.,f
Stacey,Martinez,1983-11-30,Maxis,f
William,Walker,1971-01-17,Imagic,f
Melvin,Mata,1975-05-29,Tecmo Koei,f
Joseph,Olson,1970-08-06,Valve Software,m
Miranda,Martin,1994-01-25,ASCII Entertainment,m
Julie,Diaz,1973-09-29,Mindscape,m
Rebecca,Wheeler,1980-01-23,Infogrames,f
Dawn,Cruz,1989-09-15,Unknown,f
Madeline,Ellis,1977-02-27,Square,m
Michele,Wagner,1995-07-20,Valve,m
John,Smith,1979-11-21,Activision Value,m
Joshua,Goodwin,1981-04-27,Banpresto,f
Steven,Johnson,1977-11-05,D3Publisher,f
Keith,Mccall,1997-03-02,Oxygen Interactive,f
Robert,Bell,1992-02-02,Red Storm Entertainment,f
Jonathan,Rogers,1973-04-20,Video System,f
Scott,Rivera,1975-07-25,Hello Games,m
Frank,Hutchinson,1995-12-30,Global Star,f
Geoffrey,Ford,1975-10-05,Gotham Games,f
Toni,Smith,1994-08-12,Westwood Studios,m
Robert,Cunningham,1991-06-10,GungHo,f
Pamela,Mullins,1981-02-11,Crave Entertainment,m
Colton,Campbell,1976-11-22,Hudson Soft,f
Kevin,Reese,1976-11-06,Coleco,f
Rebecca,Salazar,1990-09-05,Rising Star Games,m
Donna,Franklin,1987-12-05,Atlus,f
Jordan,Lang,1971-05-13,TDK Mediactive,f
Manuel,Boyd,1995-08-24,ASC Games,f
David,Cox,1990-07-15,Zoo Games,m
Larry,Myers,1983-11-15,Accolade,f
Stephanie,Robinson,1972-03-01,Sony Online Entertainment,m
Edward,Bentley,1978-02-04,3DO,m
Kyle,Mayer,1982-02-04,RTL,f
David,Fox,1973-03-24,Natsume,f
Katie,Bradshaw,1970-12-05,Focus Home Interactive,m
Joshua,Lewis,1973-12-27,Alchemist,m
Brian,Smith,1972-01-10,Black Label Games,f
Chase,Lara,1972-01-24,SouthPeak Games,f
Sheila,Andrews,1996-10-30,Mastertronic,m
Kyle,Gillespie,1993-12-19,Ocean,f
Amy,Baker,1970-12-14,Zoo Digital Publishing,m
Andrew,Blake,1976-08-08,Psygnosis,f
Michael,Cook,1974-06-20,City Interactive,m
William,Ward,1975-03-04,Empire Interactive,f
Christopher,Powell,1995-05-28,Success,f
Robert,Shelton,1995-12-22,Compile,f
Bryan,Bryant,1983-06-07,Russel,m
George,Roth,1978-09-07,Taito,m
Timothy,Estrada,1982-02-24,Agetec,f
Michael,Walsh,1980-04-15,GSP,f
Ivan,Erickson,1978-01-24,Microprose,f
Timothy,Ortiz,1981-06-29,Play It,f
Stacey,Sanchez,1978-05-09,Slightly Mad Studios,m
Susan,Campbell,1987-10-16,Tomy Corporation,m
Hannah,Cannon,1976-03-06,Sammy Corporation,f
Justin,Walton,1979-02-19,Koch Media,f
Audrey,Baldwin,1995-07-19,Game Factory,m
Juan,Best,1986-10-07,Titus,f
Collin,Hernandez,1992-01-20,Marvelous Entertainment,m
Timothy,Dean,1979-06-23,Genki,m
Gary,Francis,1991-12-02,Mojang,m
Julie,Welch,1988-10-01,Pinnacle,m
Hector,Reynolds,1990-08-25,CTO SpA,f
Michelle,Fitzpatrick,1979-04-15,TalonSoft,m
David,Powell,1983-12-04,Crystal Dynamics,f
Joe,Vargas,1971-09-17,SCi,f
Katrina,Simon,1993-08-15,Quelle,m
Stephanie,Nguyen,1996-11-06,"mixi, Inc",m
Adam,Mccoy,1980-01-20,Rage Software,m
Brittany,Johnson,1988-07-10,Ubisoft Annecy,m
Martin,Cruz,1983-02-02,Scholastic Inc.,f
Maria,Morrison,1972-11-06,Interplay,m
Elizabeth,Frazier,1980-10-13,Mystique,f
Joshua,Cruz,1994-06-26,ChunSoft,m
Deborah,Dean,1980-12-07,Square EA,f
James,Hughes,1975-11-21,20th Century Fox Video Games,m
Corey,Soto,1996-05-07,Avanquest Software,m
